Month End Date,Monthly Total (NAV) Return,,,
1/2/08,-1.87,
4/10/08,0.24,
7/24/08,-2.80,
10/3/08,-12.41,
1/2/09,-2.62,
4/10/09,0.18,
7/24/09,2.03,
10/3/09,3.24,
1/2/10,0.59,
4/10/10,0.57,
7/24/10,3.86,
10/3/10,8.20,
1/2/11,4.84,
4/10/11,7.15,
7/24/11,-0.73,
10/3/11,1.52,
1/2/12,4.49,
4/10/12,0.76,
7/24/12,0.76,
10/3/12,1.03,
1/2/13,2.53,
4/10/13,4.47,
7/24/13,6.56,
10/3/13,12.74,
1/2/14,4.74,
4/10/14,2.93,
7/24/14,2.64,
10/3/14,10.2,
1/2/15,4.38,
4/10/15,6.82,
7/24/15,-0.44,
10/3/15,1.65,
1/2/16,-3.34,
4/10/16,0.52,
7/24/16,3.32,
10/3/16,-0.01,
1/2/17,3.24,
4/10/17,1.35,
7/24/17,3.24,
10/3/17,2.82,
